time_s,acc_x_m_s2,acc_y_m_s2,acc_z_m_s2,v_x_m_s,v_y_m_s,v_z_m_s,x_pos_m,y_pos_m,z_pos_m,altitude_m
0.0,-0.24,-0.04,9.81,0.0,0.0,0.0,0.0,0.0,600.0,600.0
0.02,0.21,0.09,9.81,-0.0003,0.0005,0.1962,-2.9999999999999997e-06,5e-06,600.0,600.0
0.04,-0.22,-0.03,9.81,-0.0004000000000000001,0.0010999999999999998,0.3924,-1e-05,2.1e-05,600.0,600.0
0.06,-0.06,0.12,9.81,-0.0032,0.0019999999999999996,0.5886,-4.6e-05,5.199999999999999e-05,600.0,600.0
0.08,-0.0,0.28,9.81,-0.0038000000000000004,0.006,0.7848,-0.00011600000000000003,0.000132,600.0,600.0
0.1,-0.09,0.07,9.81,-0.004700000000000001,0.009500000000000001,0.9810000000000001,-0.00020100000000000006,0.00028700000000000004,600.0,600.0
0.12,0.1,-0.28,9.81,-0.004600000000000001,0.007400000000000002,1.1772,-0.00029400000000000004,0.000456,600.0,600.0
0.14,0.36,0.08,9.81,2.6020852139652106e-18,0.0054,1.3734000000000002,-0.0003400000000000001,0.0005840000000000001,600.0,600.0
0.16,-0.2,-0.2,9.81,0.0016000000000000016,0.004200000000000001,1.5696,-0.00032400000000000007,0.00068,600.0,600.0
0.18,-0.07,-0.3,9.81,-0.0010999999999999972,-0.0007999999999999969,1.7658,-0.000319,0.0007140000000000001,600.0,600.0
0.2,0.05,0.01,9.81,-0.0012999999999999976,-0.0036999999999999993,1.9620000000000002,-0.000343,0.0006690000000000001,600.0,600.0
0.22,-0.05,-0.09,9.81,-0.0012999999999999976,-0.004499999999999999,2.1582,-0.0003689999999999999,0.0005870000000000002,600.0,600.0
0.24,-0.02,-0.21,9.81,-0.0019999999999999974,-0.007499999999999997,2.3543999999999996,-0.00040199999999999985,0.0004670000000000003,600.0,600.0
0.26,0.37,0.04,9.81,0.0015000000000000052,-0.009199999999999998,2.5505999999999998,-0.00040699999999999976,0.0003000000000000002,600.0,600.0
0.28,0.12,-0.09,9.81,0.00640000000000001,-0.009699999999999999,2.7468,-0.0003279999999999995,0.00011100000000000007,600.0,600.0
0.3,-0.22,-0.13,9.81,0.0054000000000000116,-0.011899999999999994,2.9429999999999996,-0.00020999999999999952,-0.00010499999999999946,600.0,600.0
